country,country_group,date,cases,deaths
Germany,Germany,17/03/2003,1,0
Canada,Canada,17/03/2003,8,2
Singapore,Singapore,17/03/2003,20,0
Hong Kong,China,17/03/2003,95,1
Switzerland,Switzerland,17/03/2003,2,0
Thailand,Thailand,17/03/2003,1,0
Vietnam,Vietnam,17/03/2003,40,1
Canada,Canada,24/03/2003,11,3
France,France,24/03/2003,1,0
Germany,Germany,24/03/2003,4,0
Hong Kong,China,24/03/2003,260,10
Italy,Italy,24/03/2003,2,0
Republic of Ireland,Republic of Ireland,24/03/2003,1,0
Singapore,Singapore,24/03/2003,65,0
Spain,Spain,24/03/2003,1,0
Switzerland,Switzerland,24/03/2003,2,0
Taiwan,China,24/03/2003,6,0
Thailand,Thailand,24/03/2003,5,0
UK,UK,24/03/2003,3,0
USA,USA,24/03/2003,37,0
Vietnam,Vietnam,24/03/2003,58,4
Canada,Canada,31/03/2003,44,4
Mainland China,China,31/03/2003,806,34
Hong Kong,China,31/03/2003,530,13
Taiwan,China,31/03/2003,10,0
France,France,31/03/2003,1,0
Germany,Germany,31/03/2003,5,0
Italy,Italy,31/03/2003,2,0
Republic of Ireland,Republic of Ireland,31/03/2003,2,0
Romania,Romania,31/03/2003,3,0
Singapore,Singapore,31/03/2003,91,2
Switzerland,Switzerland,31/03/2003,3,0
Thailand,Thailand,31/03/2003,5,1
UK,UK,31/03/2003,3,0
USA,USA,31/03/2003,59,0
Vietnam,Vietnam,31/03/2003,58,4
Australia,Australia,07/04/2003,1,0
Brazil,Brazil,07/04/2003,1,0
Canada,Canada,07/04/2003,90,9
Mainland China,China,07/04/2003,1268,53
Hong Kong,China,07/04/2003,883,23
Taiwan,China,07/04/2003,21,0
France,France,07/04/2003,3,0
Germany,Germany,07/04/2003,5,0
Italy,Italy,07/04/2003,3,0
Malaysia,Malaysia,07/04/2003,1,1
Republic of Ireland,Republic of Ireland,07/04/2003,1,0
Romania,Romania,07/04/2003,1,0
Singapore,Singapore,07/04/2003,106,6
Spain,Spain,07/04/2003,1,0
Switzerland,Switzerland,07/04/2003,1,0
Thailand,Thailand,07/04/2003,7,2
UK,UK,07/04/2003,5,0
USA,USA,07/04/2003,141,0
Vietnam,Vietnam,07/04/2003,62,4
Brazil,Brazil,14/04/2003,2,0
Canada,Canada,14/04/2003,100,13
Mainland China,China,14/04/2003,1418,64
Hong Kong,China,14/04/2003,1190,47
Taiwan,China,14/04/2003,23,0
France,France,14/04/2003,5,0
Germany,Germany,14/04/2003,6,0
Indonesia,Indonesia,14/04/2003,1,0
Italy,Italy,14/04/2003,3,0
Kuwait,Kuwait,14/04/2003,1,0
Malaysia,Malaysia,14/04/2003,4,1
Philippines,Philippines,14/04/2003,1,0
Republic of Ireland,Republic of Ireland,14/04/2003,1,0
Romania,Romania,14/04/2003,1,0
Singapore,Singapore,14/04/2003,158,12
South Africa,South Africa,14/04/2003,1,0
Spain,Spain,14/04/2003,1,0
Sweden,Sweden,14/04/2003,1,0
Switzerland,Switzerland,14/04/2003,1,0
Thailand,Thailand,14/04/2003,8,2
UK,UK,14/04/2003,6,0
USA,USA,14/04/2003,174,0
Vietnam,Vietnam,14/04/2003,63,5
Australia,Australia,21/04/2003,3,0
Brazil,Brazil,21/04/2003,2,0
Canada,Canada,21/04/2003,132,12
Mainland China,China,21/04/2003,1959,86
Hong Kong,China,21/04/2003,1402,94
Taiwan,China,21/04/2003,29,0
France,France,21/04/2003,5,0
Germany,Germany,21/04/2003,6,0
India,India,21/04/2003,1,0
Indonesia,Indonesia,21/04/2003,1,0
Italy,Italy,21/04/2003,3,0
Japan,Japan,21/04/2003,5,0
Kuwait,Kuwait,21/04/2003,1,0
Malaysia,Malaysia,21/04/2003,6,1
Mongolia,Mongolia,21/04/2003,3,0
Philippines,Philippines,21/04/2003,2,1
Republic of Ireland,Republic of Ireland,21/04/2003,1,0
Romania,Romania,21/04/2003,1,0
Singapore,Singapore,21/04/2003,178,16
South Africa,South Africa,21/04/2003,1,0
Spain,Spain,21/04/2003,1,0
Sweden,Sweden,21/04/2003,3,0
Switzerland,Switzerland,21/04/2003,1,0
Thailand,Thailand,21/04/2003,7,2
UK,UK,21/04/2003,6,0
USA,USA,21/04/2003,39,0
Vietnam,Vietnam,21/04/2003,63,5
Australia,Australia,28/04/2003,4,0
Brazil,Brazil,28/04/2003,2,0
Bulgaria,Bulgaria,28/04/2003,1,0
Canada,Canada,28/04/2003,142,18
Mainland China,China,28/04/2003,2914,131
Hong Kong,China,28/04/2003,1557,138
Taiwan,China,28/04/2003,66,0
France,France,28/04/2003,5,0
Germany,Germany,28/04/2003,7,0
India,India,28/04/2003,1,0
Indonesia,Indonesia,28/04/2003,1,0
Italy,Italy,28/04/2003,8,0
Japan,Japan,28/04/2003,2,0
Kuwait,Kuwait,28/04/2003,1,0
Malaysia,Malaysia,28/04/2003,6,2
Mongolia,Mongolia,28/04/2003,5,0
Philippines,Philippines,28/04/2003,4,2
Republic of Ireland,Republic of Ireland,28/04/2003,1,0
Romania,Romania,28/04/2003,1,0
Singapore,Singapore,28/04/2003,199,23
South Africa,South Africa,28/04/2003,1,0
Spain,Spain,28/04/2003,1,0
Sweden,Sweden,28/04/2003,3,0
Switzerland,Switzerland,28/04/2003,1,0
Thailand,Thailand,28/04/2003,7,2
UK,UK,28/04/2003,6,0
USA,USA,28/04/2003,41,0
Vietnam,Vietnam,28/04/2003,63,5
Australia,Australia,05/05/2003,4,0
Brazil,Brazil,05/05/2003,2,0
Bulgaria,Bulgaria,05/05/2003,1,0
Canada,Canada,05/05/2003,148,22
Mainland China,China,05/05/2003,4280,206
Hong Kong,China,05/05/2003,1637,187
Macao,China,05/05/2003,1,0
Taiwan,China,05/05/2003,116,8
France,France,05/05/2003,5,0
Germany,Germany,05/05/2003,7,0
Indonesia,Indonesia,05/05/2003,2,0
Italy,Italy,05/05/2003,9,0
Kuwait,Kuwait,05/05/2003,1,0
Malaysia,Malaysia,05/05/2003,7,2
Mongolia,Mongolia,05/05/2003,8,0
New Zealand,New Zealand,05/05/2003,1,0
Philippines,Philippines,05/05/2003,3,2
Poland,Poland,05/05/2003,1,0
Republic of Ireland,Republic of Ireland,05/05/2003,1,0
Republic of Korea,Republic of Korea,05/05/2003,1,0
Romania,Romania,05/05/2003,1,0
Singapore,Singapore,05/05/2003,204,26
South Africa,South Africa,05/05/2003,1,1
Spain,Spain,05/05/2003,1,0
Sweden,Sweden,05/05/2003,3,0
Switzerland,Switzerland,05/05/2003,1,0
Thailand,Thailand,05/05/2003,7,2
UK,UK,05/05/2003,6,0
USA,USA,05/05/2003,61,0
Vietnam,Vietnam,05/05/2003,63,5
Australia,Australia,12/05/2003,6,0
Brazil,Brazil,12/05/2003,2,0
Bulgaria,Bulgaria,12/05/2003,1,0
Canada,Canada,12/05/2003,143,22
Mainland China,China,12/05/2003,5013,252
Hong Kong,China,12/05/2003,1683,218
Macao,China,12/05/2003,1,0
