"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"2603","Egypt",2020-04-25,95,4319,227,307,13,1114,39,2898,4.2,0.2,2.8,0.3,0,42,35
"2634","El Salvador",2020-04-25,95,274,0,8,0,75,0,191,4.2,0,2.9,0.1,0,16,0
"2710","Equatorial Guinea",2020-04-25,95,258,44,1,0,7,0,250,18.4,3.1,17.8,0.1,0,1,0
"2722","Eritrea",2020-04-25,95,39,0,0,0,13,2,26,1.1,0,0.7,0,0,0,0
"2767","Estonia",2020-04-25,95,1635,30,46,0,228,22,1361,123.2,2.3,102.6,3.5,0,42,23
"2812","Eswatini",2020-04-25,95,56,20,1,0,10,0,45,4.8,1.7,3.9,0.1,0,0,0
"2866","Ethiopia",2020-04-25,95,122,5,3,0,29,4,90,0.1,0,0.1,0,0,7,0
"2927","Fiji",2020-04-25,95,18,0,0,0,10,0,8,2,0,0.9,0,0,0,0
"2939","Finland",2020-04-25,95,4475,80,186,9,2500,0,1789,80.8,1.4,32.3,3.4,0.2,43,27
"3085","France",2020-04-25,95,161644,1692,22648,369,45372,1101,93624,247.6,2.6,143.4,34.7,0.6,56,49
"3117","Gabon",2020-04-25,95,176,4,3,0,30,4,143,7.9,0.2,6.4,0.1,0,8,0
"3190","Georgia",2020-04-25,95,456,12,5,0,139,7,312,11.4,0.3,7.8,0.1,0,26,0
"3285","Germany",2020-04-25,95,156513,1514,5877,117,109800,0,40836,186.8,1.8,48.7,7,0.1,55,41
"3334","Ghana",2020-04-25,95,1279,0,10,0,134,0,1135,4.1,0,3.7,0,0,30,1
"3400","Greece",2020-04-25,95,2506,16,130,0,577,0,1799,24,0.2,17.3,1.2,0,43,35
"3436","Grenada",2020-04-25,95,18,3,0,0,7,0,11,15.9,2.7,9.7,0,0,0,0
"3452","Guatemala",2020-04-25,95,473,43,13,2,45,15,415,2.6,0.2,2.3,0.1,0,15,2
"3516","Guinea",2020-04-25,95,996,42,7,1,208,17,781,7.6,0.3,5.9,0.1,0,21,0
"3561","Guinea-Bissau",2020-04-25,95,52,0,0,0,3,0,49,2.6,0,2.5,0,0,0,0
"3601","Guyana",2020-04-25,95,73,0,7,0,12,0,54,9.3,0,6.9,0.9,0,0,0
"3626","Haiti",2020-04-25,95,72,0,6,1,6,4,60,0.6,0,0.5,0.1,0,0,0
"3661","Holy See (Vatican City)",2020-04-25,95,9,0,0,0,2,0,7,900,0,700,0,0,0,0
"3722","Honduras",2020-04-25,95,627,36,59,4,65,7,503,6.3,0.4,5.1,0.6,0,27,24
"3755","Hong Kong",2020-04-25,95,1037,2,4,0,753,28,280,13.8,0,3.7,0.1,0,54,0
"3844","Hungary",2020-04-25,95,2443,0,262,0,458,0,1723,25.3,0,17.8,2.7,0,35,31
"3894","Iceland",2020-04-25,95,1790,1,10,0,1570,28,210,524.9,0.3,61.6,2.9,0,44,5
"3983","India",2020-04-25,95,26283,1753,825,45,5939,441,19519,1.9,0.1,1.4,0.1,0,42,33
"4036","Indonesia",2020-04-25,95,8607,396,720,31,1042,40,6845,3.1,0.1,2.5,0.3,0,41,38
"4144","Iran (Islamic Republic of)",2020-04-25,95,89328,1134,5650,76,68193,1594,15485,106.4,1.4,18.4,6.7,0.1,59,61
"4176","Iraq",2020-04-25,95,1763,55,86,0,1224,20,453,4.4,0.1,1.1,0.2,0,43,42
"4236","Ireland",2020-04-25,95,18561,377,1063,49,9233,0,8265,375.9,7.6,167.4,21.5,1,42,30
"4320","Israel",2020-04-25,95,15298,240,199,5,6435,432,8664,176.7,2.8,100.1,2.3,0.1,44,29
"4384","Italy",2020-04-25,95,195351,2357,26384,415,63120,2622,105847,323.1,3.9,175.1,43.6,0.7,62,60
"4437","Jamaica",2020-04-25,95,305,17,7,0,28,0,270,10.3,0.6,9.1,0.2,0,10,0
"4512","Japan",2020-04-25,95,13231,402,360,15,1656,126,11215,10.5,0.3,8.9,0.3,0,64,47
"4597","Jordan",2020-04-25,95,444,3,7,0,332,6,105,4.4,0,1,0.1,0,34,0
"4646","Kazakhstan",2020-04-25,95,2601,119,25,0,646,42,1930,13.9,0.6,10.3,0.1,0,30,15
"4699","Kenya",2020-04-25,95,343,7,14,0,98,4,231,0.6,0,0.4,0,0,23,10
"4727","Kosovo",2020-04-25,95,510,0,12,0,93,0,405,28.3,0,22.5,0.7,0,25,9
"4794","Kuwait",2020-04-25,95,2892,278,19,4,656,43,2217,67.7,6.5,51.9,0.4,0.1,42,4
"4806","Kyrgyzstan",2020-04-25,95,665,0,8,0,345,0,312,10.2,0,4.8,0.1,0,25,0
"4845","Lao People's Democratic Republic",2020-04-25,95,19,0,0,0,7,3,12,0.3,0,0.2,0,0,0,0
"4879","Latvia",2020-04-25,95,804,20,12,0,267,0,525,42.6,1.1,27.8,0.6,0,36,3
"4991","Lebanon",2020-04-25,95,704,8,24,2,143,3,537,10.3,0.1,7.9,0.4,0,41,27
"5005","Liberia",2020-04-25,95,120,3,11,3,25,0,84,2.4,0.1,1.7,0.2,0.1,4,0
"5055","Libya",2020-04-25,95,61,0,2,0,18,0,41,0.9,0,0.6,0,0,0,0
"5105","Liechtenstein",2020-04-25,95,81,0,1,0,55,0,25,213.2,0,65.8,2.6,0,0,0
"5163","Lithuania",2020-04-25,95,1426,16,41,1,460,30,925,52.4,0.6,34,1.5,0,34,21
"5199","Luxembourg",2020-04-25,95,3711,16,85,0,3088,81,538,592.8,2.6,85.9,13.6,0,39,29
"5269","Macao",2020-04-25,95,45,0,0,0,28,1,17,6.9,0,2.6,0,0,0,0
"5350","Madagascar",2020-04-25,95,123,1,0,0,62,1,61,0.4,0,0.2,0,0,14,0
"5368","Mainland China",2020-04-25,95,82827,8,4632,0,77394,37,801,5.8,0,0.1,0.3,0,94,94
"5477","Malawi",2020-04-25,95,33,0,3,0,4,0,26,0.2,0,0.1,0,0,0,0
"5492","Malaysia",2020-04-25,95,5742,51,98,2,3762,99,1882,17.7,0.2,5.8,0.3,0,47,34
"5590","Maldives",2020-04-25,95,177,48,0,0,17,1,160,32.7,8.9,29.6,0,0,2,0
"5639","Mali",2020-04-25,95,370,45,21,0,91,4,258,1.8,0.2,1.3,0.1,0,13,12
"5697","Malta",2020-04-25,95,448,1,4,1,249,26,195,101.4,0.2,44.1,0.9,0.2,33,0
"5732","Mauritania",2020-04-25,95,7,0,1,0,6,0,0,0.2,0,0,0,0,0,0
"5775","Mauritius",2020-04-25,95,331,0,9,0,295,10,27,26,0,2.1,0.7,0,28,0
"5830","Mexico",2020-04-25,95,13842,2209,1305,236,7149,4522,5388,10.7,1.7,4.2,1,0.2,37,28
"5874","Moldova, Republic of",2020-04-25,95,3304,194,94,10,825,70,2385,81.9,4.8,59.1,2.3,0.2,33,21
"5927","Monaco",2020-04-25,95,94,0,4,0,42,1,48,241,0,123.1,10.3,0,0,0
"5980","Mongolia",2020-04-25,95,37,0,0,0,9,0,28,1.1,0,0.9,0,0,0,0
"6003","Montenegro",2020-04-25,95,320,1,6,0,153,30,161,51,0.2,25.6,1,0,25,0
"6042","Morocco",2020-04-25,95,3897,139,159,1,537,51,3201,10.6,0.4,8.7,0.4,0,34,30
"6120","Mozambique",2020-04-25,95,70,5,0,0,12,0,58,0.2,0,0.2,0,0,0,0
"6142","MS Zaandam Cruise Ship",2020-04-25,95,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"6165","Namibia",2020-04-25,95,16,0,0,0,7,0,9,0.6,0,0.4,0,0,0,0
"6210","Nepal",2020-04-25,95,49,0,0,0,12,1,37,0.2,0,0.1,0,0,0,0
"6308","Netherlands",2020-04-25,95,37384,655,4424,120,102,0,32858,218.2,3.8,191.8,25.8,0.7,50,43
