region,deaths,projected_deaths,latitude,longitude,penalty
Africa,168,25476,3.6,21.1,1.3
South-East Asia,1992,73449,4.7,102,1.3
Western Pacific,1858,30554,23.2,116.2,1.3
Eastern Mediterranean,1019,14911,28.4,34.3,1.3
Americas,8533,35298,30.7,-105.1,1
Europe,4879,11223,49,13,0.9
