country,date,cases,deaths,latitude,longitude,penalty
Liberia,01/06/2016,10675,4809,6.5,-9.5,1.3
Sierra Leone,01/06/2016,14124,3956,8.5,-11.5,1.3
Nigeria,01/06/2016,20,8,10,8,1.3
Guinea,01/06/2016,3811,2543,11,-10,1.3
Senegal,01/06/2016,1,0,14,-14,1.3
Mali,01/06/2016,8,6,17,-4,1.3
USA,01/06/2016,4,1,38,-97,1
Spain,01/06/2016,1,0,40,-4,0.9
Italy,01/06/2016,1,0,42.8333,12.8333,0.9
UK,01/06/2016,1,0,54,-2,0.8
