"","SituationReport","Date","China","RepublicofKorea","Japan","Singapore","Australia","Malaysia","Philippines","VietNam","BruneiDarussalam","Cambodia","NewZealand","Mongolia","FrenchPolynesia","India","Thailand","Indonesia","Maldives","SriLanka","Bangladesh","Bhutan","Nepal","UnitedStatesofAmerica","Canada","Brazil","Chile","Argentina","Peru","Panama","Mexico","CostaRica","Ecuador","Colombia","Jamaica","Guyana","Paraguay","DominicanRepublic","Cuba","Bolivia","PuertoRico","Uruguay","Honduras","Venezuela","AntiguaandBarbuda","Guadeloupe","SaintLucia","Suriname","Guatemala","SaintVincentandtheGrenadines","TrinidadandTobago","FrenchGuiana","Martinique","SaintMartin","SaintBarthelemy","CaymanIslands","Curacao","Italy","Spain","France","Germany","Switzerland","Netherlands","UnitedKingdom","Denmark","Sweden","Norway","Belgium","Austria","Czechia","Slovenia","Portugal","Finland","Israel","Greece","Ireland","Estonia","SanMarino","Romania","Poland","Iceland","Luxembourg","RussianFederation","Albania","Serbia","Slovakia","Croatia","Georgia","Belarus","Hungary","Latvia","Cyprus","Malta","Azerbaijan","BosniaHerzegovina","NorthMacedonia","Armenia","Kazakhstan","RepublicofMoldova","Bulgaria","Lithuania","Turkey","Liechtenstein","Uzbekistan","Ukraine","Andorra","Monaco","HolySee","FaroeIslands","Gibraltar","Guernsey","Jersey","Iran","Qatar","Bahrain","Kuwait","Egypt","Iraq","UnitedArabEmirates","Lebanon","SaudiArabia","Pakistan","Oman","Tunisia","Afghanistan","Morocco","Jordan","Sudan","OccupiedPalestinianTerritory","Algeria","SouthAfrica","Senegal","BurkinaFaso","Cameroon","DemocraticRepublicoftheCongo","Nigeria","CotedIvoire","Ethiopia","Gabon","Ghana","Guinea","Kenya","Togo","Reunion","Namibia","CentralAfricanRepublic","Congo","EquatorialGuinea","Eswatini","Mauritania","Mayotte","Rwanda","Seychelles","InternationalConveyance","Global-confirmed","China-suspected","China-severe","China-deaths","RepublicofKorea-deaths","Japan-deaths","Australia-deaths","Philippines-deaths","Italy-deaths","Spain-deaths","France-deaths","Germany-deaths","Switzerland-deaths","Netherlands-deaths","UnitedKingdom-deaths","Belgium-deaths","Norway-deaths","Sweden-deaths","Austria-deaths","Denmark-deaths","Greece-deaths","Ireland-deaths","SanMarino-deaths","Poland-deaths","Luxembourg-deaths","Albania-deaths","Hungary-deaths","Bulgaria-deaths","Ukraine-deaths","India-deaths","Thailand-deaths","Indonesia-deaths","Iran-deaths","Bahrain-deaths","Iraq-deaths","Egypt-deaths","Lebanon-deaths","Morocco-deaths","Sudan-deaths","UnitedStatesofAmerica-deaths","Canada-deaths","Argentina-deaths","Panama-deaths","Ecuador-deaths","Guyana-deaths","Guatemala-deaths","CaymanIslands-deaths","Algeria-deaths","InternationalConveyance-deaths","China-critical","Hubei-clinicaldx","Cases-nonChina","Countries-nonChina","Deaths-nonChina","Cases-nonChina-WuhanTravel","Cases-nonChina-ChinaTravel","RA-China","RA-Regional","RA-Global","HealthCareWorkers","China-WuhanCity","China-Hubei","China-Guangdong","China-Beijing","China-Shanghai","China-Chongqing","China-Zhejiang","China-Jiangxi","China-Sichuan","China-Tianjin","China-Henan","China-Hunan","China-Shandong","China-Yunnan","China-Taiwan","China-Taipei","China-HongKongSAR","China-Macao","China-Unspecified","China-Anhui","China-Jiangsu","China-Fujian","China-Shaanxi","China-Guangxi","China-Hebei","China-Heilongjiang","China-Liaoning","China-Hainan","China-Shanxi","China-Gansu","China-Guizhou","China-Ningxia","China-InnerMongolia","China-Xinjiang","China-Jilin","China-Qinghai","China-Xizang","China-Hubei-deaths","China-Guangdong-deaths","China-Beijing-deaths","China-Shanghai-deaths","China-Chongqing-deaths","China-Zhejiang-deaths","China-Jiangxi-deaths","China-Sichuan-deaths","China-Tianjin-deaths","China-Henan-deaths","China-Hunan-deaths","China-Shandong-deaths","China-Yunnan-deaths","China-Taipei-deaths","China-HongKongSAR-deaths","China-Macao-deaths","China-Anhui-deaths","China-Jiangsu-deaths","China-Fujian-deaths","China-Shaanxi-deaths","China-Guangxi-deaths","China-Hebei-deaths","China-Heilongjiang-deaths","China-Liaoning-deaths","China-Hainan-deaths","China-Shanxi-deaths","China-Gansu-deaths","China-Guizhou-deaths","China-Ningxia-deaths","China-InnerMongolia-deaths","China-Xinjiang-deaths","China-Jilin-deaths","China-Qinghai-deaths","China-Xizang-deaths"
"45",45,"2020-03-05",80565,5766,317,110,66,50,3,16,0,1,2,0,0,29,47,2,0,1,0,0,1,129,30,3,1,1,0,0,5,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3089,198,282,262,56,38,89,10,35,56,23,37,5,1,7,7,15,9,2,2,16,4,1,26,1,3,0,0,0,9,3,6,2,1,0,0,3,2,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,2922,8,49,58,2,36,27,13,2,5,15,1,1,2,1,0,4,12,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,95333,NA,NA,3015,35,6,3,1,107,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,6,NA,NA,14768,85,267,NA,NA,"Very High","Very High","Very High",NA,NA,67466,1350,418,338,576,1215,935,539,136,1272,1018,758,174,NA,42,104,10,NA,990,631,296,245,252,318,481,125,168,133,91,146,75,75,76,93,18,1,2902,7,8,3,6,1,1,3,3,22,4,6,2,1,2,0,6,0,1,1,2,6,13,1,5,0,2,2,0,1,3,1,0,0
"46",46,"2020-03-06",80711,6284,349,117,57,55,5,16,0,1,4,0,0,30,47,2,0,1,0,1,1,148,45,7,1,1,0,0,5,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3858,257,420,534,86,82,118,18,61,86,50,47,12,6,9,12,15,32,14,3,21,6,1,26,1,4,0,1,0,10,9,6,2,1,0,0,3,2,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,3513,8,49,58,3,36,27,16,8,5,16,1,1,2,1,0,7,12,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,98192,NA,NA,3045,42,6,2,1,148,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,6,NA,NA,17481,88,335,NA,NA,"Very High","Very High","Very High",NA,NA,67592,1351,422,339,576,1215,935,539,136,1272,1018,758,174,NA,45,104,10,NA,990,631,296,245,252,318,481,125,168,133,102,146,75,75,76,93,18,1,2931,7,8,3,6,1,1,3,3,22,4,6,2,1,2,0,6,0,1,1,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"47",47,"2020-03-07",80813,6767,408,130,62,83,5,17,0,1,5,0,0,31,48,2,0,1,0,1,1,213,51,13,5,2,1,0,5,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4636,374,613,639,209,128,167,23,137,113,109,66,12,9,13,19,19,32,18,10,24,7,5,45,2,7,0,1,1,11,9,6,5,1,0,0,9,2,3,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,4747,11,49,58,3,44,45,22,8,5,16,1,1,2,1,0,16,17,1,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,101927,NA,NA,3073,44,6,2,1,197,5,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,6,NA,NA,21110,93,413,NA,NA,"Very High","Very High","Very High",NA,NA,67666,1352,426,342,576,1215,935,539,136,1272,1018,758,174,NA,45,107,10,NA,990,631,296,245,252,318,481,125,168,133,119,146,75,75,76,93,18,1,2959,7,8,3,6,1,1,3,3,22,4,6,2,1,2,0,6,0,1,1,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"48",48,"2020-03-08",80859,7134,455,138,74,93,6,21,0,2,5,0,0,34,50,4,2,1,0,1,1,213,57,19,5,9,6,0,7,5,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,5883,430,706,795,264,188,210,31,161,147,169,104,26,12,21,19,25,66,19,10,27,13,6,45,2,7,0,1,3,11,12,6,7,1,0,3,9,2,3,1,0,1,2,1,0,1,0,1,1,1,1,1,1,0,0,5823,12,56,62,48,54,45,28,7,5,16,1,4,2,1,0,16,17,2,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,105586,NA,NA,3100,50,6,3,1,234,5,10,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,145,0,4,0,0,0,0,11,0,1,0,0,0,0,0,0,7,NA,NA,24727,101,484,NA,NA,"Very High","Very High","Very High",NA,NA,67707,1352,428,342,576,1215,935,539,136,1272,1018,758,174,NA,45,109,10,NA,990,631,296,245,252,318,481,125,168,133,120,146,75,75,76,93,18,1,2986,7,8,3,6,1,1,3,3,22,4,6,2,1,2,0,6,0,1,1,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"49",49,"2020-03-09",80904,7382,488,150,77,93,10,30,0,2,5,0,0,43,50,6,4,1,3,1,1,213,62,25,10,12,6,0,7,9,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,7375,589,1116,1112,332,265,277,36,203,169,200,112,32,16,30,30,39,73,21,10,37,15,11,55,2,7,2,1,5,11,13,6,9,3,0,3,9,2,3,1,0,1,4,1,0,1,0,1,1,1,1,3,1,0,0,6566,15,79,64,55,60,45,32,15,6,16,2,4,2,1,0,19,20,3,4,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,109578,NA,NA,3123,51,7,3,1,366,10,19,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,194,0,6,1,0,0,0,11,0,1,0,0,0,0,0,0,7,NA,NA,28674,104,686,NA,NA,"Very High","Very High","Very High",NA,NA,67743,1352,428,342,576,1215,935,539,136,1272,1018,758,174,NA,45,114,10,NA,990,631,296,245,252,318,481,125,168,133,124,146,75,75,76,93,18,1,3007,8,8,3,6,1,1,3,3,22,4,6,2,1,3,0,6,0,1,1,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"50",50,"2020-03-10",80924,7513,514,160,92,117,33,31,1,2,5,1,0,44,53,19,4,1,3,1,1,472,77,25,13,12,9,1,7,9,15,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,9172,1024,1402,1139,332,321,323,90,248,192,239,131,38,23,30,40,39,73,24,10,49,15,16,55,5,7,2,1,7,12,15,6,9,6,2,4,9,2,7,1,0,1,4,1,0,1,0,1,1,1,1,2,1,1,0,7161,18,109,65,59,61,59,41,15,16,18,2,4,2,1,0,26,20,7,4,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,113702,NA,NA,3140,54,9,3,1,463,28,30,2,2,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,237,0,6,1,0,0,0,19,0,1,0,0,0,0,0,0,7,NA,NA,32778,109,872,NA,NA,"Very High","Very High","Very High",NA,NA,67760,1353,429,342,576,1215,935,539,136,1272,1018,758,174,NA,45,115,10,NA,990,631,296,245,252,318,481,125,168,133,124,146,75,75,76,93,18,1,3024,8,8,3,6,1,1,3,3,22,4,6,2,1,3,0,6,0,1,1,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"51",51,"2020-03-11",80955,7755,568,166,112,129,49,35,1,3,5,1,0,60,59,27,8,1,3,1,1,696,93,34,17,17,11,8,7,13,15,3,1,0,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,0,10149,1639,1774,1296,491,382,373,262,326,277,267,182,61,31,41,40,75,89,34,13,63,25,22,61,5,7,10,12,7,16,23,9,13,8,2,4,9,4,7,1,0,3,10,1,0,1,0,1,1,1,1,2,1,1,0,8042,24,110,69,59,61,74,41,20,16,18,6,4,3,1,0,30,20,7,4,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,118326,NA,NA,3162,60,12,3,1,631,36,33,2,3,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,291,0,6,1,1,1,0,25,1,1,1,0,0,0,0,0,7,NA,NA,37371,113,1130,NA,NA,"Very High","Very High","Very High",NA,NA,67773,1353,435,344,576,1215,935,539,136,1272,1018,759,174,NA,47,120,10,NA,990,631,296,245,252,318,482,125,168,133,125,146,75,75,76,93,18,1,3046,8,8,3,6,1,1,3,3,22,4,6,2,1,3,0,6,0,1,1,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"52",52,"2020-03-12",80981,7869,620,178,122,129,52,39,12,3,5,1,1,73,70,34,8,2,3,1,1,987,93,52,23,19,17,10,11,13,17,9,1,0,5,5,0,2,0,0,2,0,0,0,0,0,0,0,0,5,3,2,1,0,0,12462,2140,2269,1567,645,503,460,615,461,277,314,302,94,57,41,40,75,98,43,13,63,48,44,61,17,20,10,19,10,16,23,12,13,16,6,6,9,4,7,1,0,4,7,3,1,1,0,1,1,1,1,2,1,1,0,9000,262,189,80,67,70,74,66,21,19,18,6,7,5,1,0,30,25,13,4,2,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,125048,NA,NA,3173,66,15,3,2,827,48,48,3,4,5,6,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,1,354,0,7,1,3,1,0,29,1,1,1,0,0,0,0,1,7,NA,NA,44067,117,1440,NA,NA,"Very High","Very High","Very High",NA,NA,67781,1356,435,344,576,1215,935,539,136,1273,1018,760,174,NA,49,129,10,NA,990,631,296,245,252,318,482,125,168,133,127,146,75,75,76,93,18,1,3056,8,8,3,6,1,1,3,3,22,4,6,2,1,3,0,6,0,1,2,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"53",53,"2020-03-13",80991,7979,675,187,140,129,52,39,12,5,5,1,1,74,75,34,8,3,3,1,1,1264,138,77,33,31,22,14,12,22,17,9,1,1,5,5,3,3,0,0,2,0,0,0,0,0,0,1,0,6,4,2,1,0,0,15113,2965,2860,2369,858,614,594,674,620,489,314,361,116,57,41,109,75,98,70,13,63,48,49,61,17,34,23,19,21,16,25,12,16,16,6,9,11,4,7,1,0,4,7,3,1,4,0,3,1,1,1,2,1,1,2,10075,262,195,80,67,70,85,66,21,20,18,7,7,6,1,0,31,25,17,10,2,2,1,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,696,132758,NA,NA,3180,66,19,3,2,1016,84,61,6,6,5,8,0,0,0,1,0,1,1,2,1,0,0,0,1,0,1,1,1,429,0,7,1,3,1,0,36,1,1,1,0,1,0,0,1,7,NA,NA,51767,122,1775,NA,NA,"Very High","Very High","Very High",NA,NA,67786,1356,436,346,576,1215,935,539,136,1273,1018,760,174,NA,49,131,10,NA,990,631,296,245,252,318,482,125,168,133,127,146,75,75,76,93,18,1,3062,8,8,3,6,1,1,3,3,22,4,7,2,1,3,0,6,0,1,2,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"54",54,"2020-03-14",81021,8086,716,200,197,197,64,48,25,7,6,1,1,82,75,69,9,6,3,1,1,1678,176,98,43,34,28,27,26,23,23,16,7,6,6,5,4,3,3,0,2,2,1,1,0,0,0,1,1,6,6,2,1,1,0,17660,4231,3640,3062,1125,804,802,801,775,750,599,504,150,141,112,109,100,98,90,79,66,64,64,61,38,34,33,31,30,27,25,21,19,16,14,12,11,11,9,8,0,8,7,6,5,4,0,3,2,2,1,3,1,1,2,11364,262,210,100,93,93,85,77,62,21,19,16,7,7,1,1,35,26,17,10,2,2,2,2,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,697,142539,NA,NA,3194,72,21,3,2,1268,120,79,6,6,10,10,0,1,0,1,0,1,1,2,1,1,1,0,1,1,2,1,3,514,0,9,2,4,1,0,41,1,2,1,0,1,0,0,2,7,NA,NA,61518,135,2199,NA,NA,"Very High","Very High","Very High",NA,NA,67790,1356,437,350,576,1227,935,539,136,1273,1018,760,174,NA,50,137,10,NA,990,631,296,245,252,318,482,125,168,133,129,146,75,75,76,93,18,1,3075,8,8,3,6,1,1,3,3,22,4,7,2,1,4,0,6,0,1,2,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"55",55,"2020-03-15",81048,8162,780,212,249,238,111,53,40,7,6,1,3,107,75,117,10,11,3,1,1,1678,244,121,61,45,43,27,41,23,23,24,8,1,6,5,4,3,3,0,2,2,1,3,0,0,0,1,1,7,10,2,1,1,2,21175,5753,4469,3795,1359,959,1144,827,924,907,689,800,214,141,112,210,178,228,129,79,92,123,111,138,38,34,38,41,44,37,30,21,32,30,21,12,19,18,13,8,6,12,43,9,5,4,0,3,2,2,1,9,1,1,2,12729,337,211,112,93,93,85,93,103,28,20,16,10,18,1,1,38,37,38,21,3,3,2,2,3,1,1,2,1,1,1,6,2,1,1,1,1,1,1,0,0,697,153517,NA,NA,3204,75,22,3,6,1441,136,91,8,11,12,21,0,1,0,1,0,2,2,5,3,1,1,0,2,1,2,1,4,608,0,9,2,3,1,0,41,1,2,1,0,1,0,0,3,7,NA,NA,72469,143,2531,NA,NA,"Very High","Very High","Very High",NA,NA,67794,1357,442,353,576,1231,935,539,136,1273,1018,760,174,NA,53,141,10,NA,990,631,296,245,252,318,482,125,168,133,132,146,75,75,76,93,18,1,3085,8,8,3,6,1,1,3,3,22,4,7,2,1,4,0,6,0,1,2,2,6,13,1,6,0,2,2,0,1,3,1,0,0
"56",56,"2020-03-16",81116,8236,814,243,298,553,140,57,50,12,6,1,3,114,114,117,13,19,5,1,1,1678,304,200,75,56,71,43,53,23,37,24,10,4,8,5,4,11,3,4,2,2,1,6,1,1,1,1,2,7,15,2,3,1,2,24747,7753,5380,4838,2200,1135,1395,898,992,1077,1085,959,298,219,245,267,200,331,169,205,92,158,150,138,38,63,42,41,61,49,33,36,39,31,33,21,19,18,13,26,6,23,51,14,5,7,4,3,2,9,1,11,1,1,2,14991,401,221,112,126,124,98,99,103,52,22,18,16,28,6,1,38,49,51,26,3,3,2,2,3,1,1,2,1,1,1,9,2,1,1,1,1,1,1,5,2,712,167511,NA,NA,3218,75,24,5,12,1809,288,127,12,13,20,35,5,1,3,1,1,4,2,5,3,1,1,1,2,1,2,1,4,853,1,9,2,3,1,1,41,1,2,1,2,1,1,1,3,7,NA,NA,86434,151,3388,NA,NA,"Very High","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,157,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
